articulationpoint	averagebetweenness	averagecloseness	averagenodeconnectivity	averageeccentricity	averagepathlength	clusteringcoefficient	cohesiveness	compactness	globalefficiency	networkcentralization	networkdensity	networkdiameter	networkheterogeneity
CCND1	1	7313.05218950546	4.03624742254803e-05	27.1175915439789	4.22885994714987	2.38047233402652	0.0316643650570116	0.999999651977931	28.3241673066191	0.439830958256559	0.773372572766024	0.00255947065068229	6	3.67136478038972
PAM	1	7312.95960739902	4.03627501798005e-05	27.1315590788977	4.22885994714987	2.38045485746088	0.0316827531196424	0.999999652157096	28.3465047622227	0.439834231772292	0.773371254452204	0.00256078896450191	6	3.66993309156862
PEX10	1	7312.96961117402	4.03627251591046e-05	27.1309928274821	4.22885994714987	2.38045674585635	0.0316825103651094	0.999999652149836	28.3406688251928	0.439833965140352	0.773371307897359	0.00256073551934706	6	3.67000056050601
ABCD1	1	7312.99490373728	4.03626459797412e-05	27.1306153265383	4.22885994714987	2.38046152029019	0.0316838746183018	0.999999652144996	28.345741661937	0.439833097547342	0.773371343527462	0.00256069988924382	6	3.66994752492382
PEX19	1	7313.12136655344	4.0362374773744e-05	27.1260853152133	4.22885994714987	2.38048539245935	0.0316824244620868	0.999999652086905	28.3522811302842	0.439830609675372	0.773371771088701	0.00256027232800503	6	3.67058588095161
PPARA	1	7312.40222725555	4.03645687972978e-05	27.1270290675727	4.22876557191393	2.38034964176603	0.0316773528894094	0.999999652099009	28.355766982694	0.43985133006493	0.773466066156907	0.00256036140326311	6	3.67072398199018
DUT	1	7312.97914307283	4.03626928036074e-05	27.1291053227633	4.22885994714987	2.38045854517657	0.0316839376148254	0.999999652125634	28.3522166195181	0.439833553315743	0.773371486047875	0.00256055736883089	6	3.6701429214157
EP300	1	7314.83446583619	4.03580025063125e-05	27.0592676481691	4.22895432238581	2.38080877127629	0.0315269804315073	0.9999996512278	28.0853767053214	0.439791582241596	0.773378077616973	0.00255396579973281	6	3.67643366074753
SLC9A1	1	7312.97602869007	4.03627023151286e-05	27.1302378255946	4.22885994714987	2.38045795727986	0.0316830830222926	0.999999652140156	28.3470936416406	0.439833688413218	0.773371379157565	0.00256066425914059	6	3.67005143753435
CDKN2A	1	7313.10239713093	4.03623341113569e-05	27.1047565118913	4.22885994714987	2.38048181163398	0.0316405851198259	0.999999651813131	28.2857837690918	0.439829215350671	0.773373784189534	0.00255825922717237	6	3.67260293053437
ERBB3	1	7313.04312948281	4.03625137673469e-05	27.1157040392601	4.22885994714987	2.38047062378156	0.0316685808732216	0.999999651953706	28.3356789481468	0.439831326434288	0.77337275091654	0.00255929250016613	6	3.67180103361584
PIK3R1	1	7313.43129482822	4.03616116115028e-05	27.0981502453756	4.22885994714987	2.38054389708886	0.0316292217983404	0.999999651728246	28.2665128628016	0.439822143072073	0.77337440771634	0.0025576357003658	6	3.67367969609401
PIK3CA	1	7313.00547376363	4.03626228883166e-05	27.1243865609664	4.22885994714987	2.38046351557597	0.031678904473984	0.999999652065115	28.3415132046494	0.439832716602151	0.773371931424165	0.00256011199254048	6	3.67077303130526
PGD	1	7313.01038127595	4.0362599344287e-05	27.1245753114383	4.22885994714987	2.38046444195865	0.0316805149217344	0.999999652067537	28.3442334387567	0.439832448782544	0.773371913609114	0.0025601298075921	6	3.67055298985447
PLCG1	1	7313.11966779914	4.03623107237329e-05	27.1075877689694	4.22885994714987	2.38048507178842	0.03165582519804	0.999999651849497	28.3025110726528	0.439829022948109	0.773373516963759	0.00255852645294662	6	3.67278236288087
FLNC	1	7313.05398263494	4.0362511360579e-05	27.1196677991695	4.22885994714987	2.3804726725125	0.031677266781493	0.999999652004576	28.3434552575962	0.439831552685439	0.773372376800456	0.00255966661625007	6	3.6712256062687
JUP	1	7313.05502076256	4.03624833327277e-05	27.1168365420914	4.22885994714987	2.38047286847807	0.0316685949118891	0.999999651968241	28.3178127130807	0.439831070194462	0.77337264402623	0.00255939939047582	6	3.67142700299775
NIT1	1	7312.96045677614	4.0362748082939e-05	27.1323140807852	4.22885994714987	2.38045501779635	0.0316830341168199	0.999999652166775	28.3454390240413	0.439834233256879	0.773371183191998	0.00256086022470837	6	3.6698259367629
UBE2I	2	7311.3803322008	4.03672642034225e-05	27.0771989429974	4.22838807097018	2.38041729480291	0.0316076251228568	0.999999651458767	28.2161899452521	0.439756148103763	0.77337638518707	0.00255565822963637	6	3.67531597514545
FAF1	1	7313.03189882969	4.03625444533423e-05	27.115892789732	4.22885994714987	2.38046850379042	0.0316687090512206	0.999999651956128	28.3236762665064	0.439831686298333	0.773372733101488	0.00255931031521774	6	3.67168285555999
PIAS2	1	7313.05804077014	4.03624785946767e-05	27.1202340505851	4.22885994714987	2.38047343855972	0.0316750449371019	0.999999652011841	28.3328166508482	0.439831149768359	0.773372323355301	0.00255972006140492	6	3.67110586360418
TDG	1	7313.01245753117	4.03625941562855e-05	27.1268403171008	4.22885994714987	2.38046483388979	0.0316795128497612	0.999999652096588	28.3345811417208	0.439832462143833	0.773371699828495	0.0025603435882115	6	3.67027313889618
PRMT1	1	7313.13146470366	4.03622641551065e-05	27.1096640241601	4.22885994714987	2.38048729866987	0.0316559714342463	0.999999651876161	28.3113990106897	0.439828707324778	0.773373320998192	0.0025587224185144	6	3.67205723672636
ZMYM5	1	7312.47102680257	4.03643651733079e-05	27.1319365798414	4.22876557191393	2.38036262893866	0.0316804257936217	0.999999652161935	28.3452005665749	0.439849210073799	0.773465602965565	0.00256082459460514	6	3.67002605378065
SETDB1	3	7308.87910532272	4.03743273227967e-05	27.1104190260476	4.22791619479049	2.38020559239941	0.0316694561715914	0.999999651885856	28.3429659573046	0.439706392742705	0.773373249737985	0.00255879367872087	6	3.67226943837397
SNIP1	1	7313.01132502827	4.03625963546457e-05	27.1221215553039	4.22885994714987	2.38046462010917	0.0316731931810033	0.999999652036059	28.3323874069375	0.439832359707284	0.773372145204785	0.00255989821192108	6	3.67091695116839
CDH5	1	7312.2432993582	4.03650081050166e-05	27.1298603246508	4.22876557191393	2.38031964121911	0.0316780465059855	0.999999652135315	28.3552559386644	0.439856111921684	0.773465798931133	0.00256062862903736	6	3.67042214226209
TFAP2A	2	7311.21951679878	4.03678510312264e-05	27.114382785957	4.22838807097018	2.38038693222401	0.0316760967595392	0.999999651936746	28.3478484951157	0.439763647052871	0.773372875621901	0.00255916779480481	6	3.67180767971215
PDGFRB	1	7313.02444318612	4.03625718190119e-05	27.1202340505851	4.22885994714987	2.38046709640134	0.0316715518131645	0.999999652011841	28.3256326262034	0.439832053288396	0.773372323355301	0.00255972006140492	6	3.67129297551758
PVR	1	7312.99613061532	4.03626456499614e-05	27.1309928274821	4.22885994714987	2.38046175188586	0.0316835643496797	0.999999652149836	28.3504180956969	0.439833145054146	0.773371307897359	0.00256073551934706	6	3.6699550007046
PARP1	1	7313.26141940354	4.03619099261731e-05	27.0928652321631	4.22885994714987	2.38051182999595	0.0315940917337646	0.999999651660309	28.2295893310955	0.43982492756465	0.773374906537786	0.00255713687892054	6	3.6735001136482
