Interactor_A	Interactor_B
FANCC	FANCE
FANCC	FANCG
FANCD2	FANCE
FDPS	ATXN1
NCF2	NCF4
NCF2	RAC1
ATP2B4	DLG3
XPA	RASSF1
XPA	GPN1
XPA	XAB2
TDG	XPC
XPC	LSM3
RAD23B	XPC
RAD23A	XPC
IGBP1	MID1
MID1	MID2
BRCA2	FLNA
FLNA	PSEN2
FLNA	TRIO
FLNA	SMAD5
FLNA	FLNB
FLNA	SH2B3
FLNA	SIGLEC10
FLNA	NPHP1
FLNA	FBLIM1
FLNA	TNIP2
HCFC1	PDCD2
GABPA	HCFC1
HCFC1	HCFC1R1
ATRX	EZH2
ATRX	NEK1
EFNB1	RGS3
EFNB1	NCK2
FHL2	ATXN1
EFNB1	PICK1
SMC1A	NDC80
FKBP2	UBQLN4
USP11	RANBP9
FXN	PICK1
VAMP7	AP3D1
VAMP7	SNAP29
FYN	ATXN1
XIAP	MAGED1
XIAP	COMMD1
XIAP	XAF1
XIAP	STRADB
NONO	SFPQ
PRKCI	SQSTM1
PDPK1	PRKCI
PRKCI	RHOQ
PRKCI	SMG1
PRKCI	FRS2
PRKCI	FRS3
PRKCI	PARD6G
PRKCI	PARD6B
ATP6V1E1	ATP6V1H
PLP2	BCAP31
DLG4	IL13RA1
TLE1	KDM6A
BYSL	TRO
ACTN1	TTN
IGBP1	PPP6C
IGBP1	MID2
IGBP1	PPP4C
IGBP1	PPP2CA
DLG1	CASK
GABPB1	CIC
DLG4	CASK
CASK	TSPYL2
SDC4	CASK
ID1	CASK
CASK	DFNB31
EIF1AX	EIF5B
LYST	MED12
DLG3	ERBB4
DLG3	DLG4
DLG3	CRIPT
DLG3	SEMA4C
GDI1	UBQLN4
DLG3	EXOC4
DLG3	SYNGAP1
DLG3	DLGAP4
CALM1	DLG3
SKP1	TBL1X
TRA2B	RBMX
MID2	TRIM29
PLXNB3	CUL9
PLXNB3	ARHGEF11
PLXNB3	CUL7
PLXNB3	MAGI3
PLXNB3	SPOCK2
PLXNB3	BTBD3
MAGED1	PJA1
ROR2	MAGED1
MAGED1	PJA2
UXT	LSM1
UXT	LRPPRC
IKBKG	RIPK1
ACTN1	LPP
IKBKG	TANK
IKBKG	CARD10
IKBKG	COPS3
SUV39H1	CBX5
HSPA13	UBQLN2
UBE3A	UBQLN2
ARHGEF6	GIT1
ARHGEF6	PARVB
RAB9A	TM9SF2
RAB9A	RABEPK
CTBP2	KLF8
FHL3	KLF8
TTC19	UPF3B
UPF2	UPF3B
MCRS1	UPF3B
BTK	IBTK
DYNLT3	VDAC1
REPS2	ASAP1
REPS2	RALBP1
REPS2	REPS1
CTNND1	ZBTB33
ACTN1	PKN1
TRIM21	USP4
CDC6	PPP2R3B
SF3A2	HTATSF1
TIMM8A	STAM
YWHAE	NGFRAP1
ABCD1	PEX19
NEDD4	SH3KBP1
CBLB	SH3KBP1
BLNK	SH3KBP1
GPX7	UBQLN4
ABI2	SH3KBP1
SH3KBP1	ARHGAP27
SH3KBP1	SHKBP1
DMD	DTNA
DMD	CADPS2
EMD	YTHDC1
EMD	BCLAF1
WAS	WIPF1
ARHGAP1	WAS
WAS	TRIP10
WAS	ITSN2
AXL	TENC1
BCAP31	PTPLB
TCEA2	GRIPAP1
GPHN	ARHGEF9
PQBP1	TXNL4A
PQBP1	WBP11
GSPT1	ATXN1
HCLS1	QKI
HIVEP1	APTX
F8	PHYH
HIVEP1	ATXN1
OCRL	GOLGA5
FMR1	FXR1
FMR1	NUFIP1
FMR1	CYFIP1
FMR1	UBE2I
FMR1	NUFIP2
MSN	SLC9A3R1
MSN	TSC1
ARAF	RRAS2
ARAF	MAP2K2
ARAF	EFEMP1
ARAF	ASS1
ARAF	TIMM44
ARAF	COPS3
ARAF	PRPF6
ARAF	NUDT14
CDK16	YWHAZ
POLA1	RBMS1
UBE2A	ZMYM2
UBE2A	RAD18
HK2	UBQLN4
BSG	PPIA
TAF1	UBTF
TAF1	TAF7
TAF1	ASF1A
TAF1	ASF1B
ACTN1	CDK5R1
E2F3	TFE3
CD40	TRAF3
E2F2	YY1
E2F3	YY1
YY1	SAP30
YY1	YAF2
CD40	TRAF5
MXD1	SMC3
MXD1	SIN3A
LBR	CBX3
LBR	CBX5
KLC1	MAPK8IP1
KLC1	MAPK8IP3
DTNA	SNTB1
MAPK12	SNTB1
ABCA1	SNTB2
ERBB4	SNTB2
SNTB2	MAST2
BCL2L1	RTN1
APAF1	BCL2L1
BAD	BCL2L1
BCL2L1	BNIP1
BCL2L1	BNIP3
BCL2L1	BECN1
BCL2L1	FKBP8
BCL2L1	AVEN
BCL3	NFKB1
BCL2L1	RTN4
BCL2L1	BNIP3L
BCL2L1	BCLAF1
BAX	SH3GLB1
ABCA1	FADD
MAP3K11	KIF3A
BCL3	RXRA
FHL2	ITGB2
ITGB2	COPS3
AHR	TBP
BRF1	TBP
TBP	TAF1A
NR4A1	ATXN1
TAF13	TBP
PTPN12	SHC1
PTPN12	TGFB1I1
PTPN12	PXN
LCP2	SYK
SH3BP2	SYK
TUFT1	TFIP11
RALGDS	RRAS2
RABAC1	RRAS2
RIN1	RRAS2
RRAS2	RASIP1
PDE4D	PDE4DIP
MAP3K10	KIFAP3
MAP3K10	KIF3B
MAP3K10	KIF3A
MAP3K10	YWHAE
CREBBP	NFE2L2
CREBBP	TDG
CREBBP	HIF1A
CREBBP	TRIP4
CREBBP	NCOA6
CREBBP	KAT2B
CREBBP	SRCAP
SEC13	WDR44
AP1B1	BUB1B
AP1B1	AP1G1
BCL6	ZBTB7A
CDKN2A	PPP1R9B
CDKN2A	SERTAD1
CDKN2A	ZNF410
JAK3	STAT5A
JAK3	TIAF1
DLG4	MAP1A
MAP1A	DISC1
MAP1A	UPF2
BRCA2	SHFM1
BRCA2	BUB1B
BRCA2	BCCIP
EIF5A	RPL5
EIF5A	XRN2
AES	PTRH2
RUNX3	TLE1
IL6ST	TLE1
TLE1	TLE2
SS18	MLLT10
BACH1	MAFK
MAFK	NFE2L3
DVL1	EPS8
RUNX2	YAP1
GRB7	TEK
TEK	TNIP2
SCNN1A	UBE2I
CENPF	TOP3B
H3F3B	HIRA
UPF1	HIRA
HIRA	HIST2H2BE
HIRA	NFU1
CTBP1	ELK3
ELK3	PIAS1
AHR	ARNTL
AHR	NCOA1
AHR	TAF7
AHR	AIP
CRIP2	PTPN13
PKN2	PTPN13
PTPN13	TRIP6
PTPN13	RAPGEF6
PTPN13	BRD7
ATXN1	COIL
COIL	NOLC1
NOTCH2	MAML1
NOTCH3	MAML1
NOTCH3	KAT2B
ID3	TCF4
ID3	ID4
RAP1GAP	ZBTB12
PEX12	PEX19
PEX13	PEX19
PEX14	PEX19
PEX19	PEX3
SMARCE1	RCOR1
PEX19	PEX16
PEX19	PEX11A
PEX19	PEX11B
NUBP1	NDN
ETF1	PPP2CA
GARS	IARS
MAPK14	AIMP1
MAPK14	RPS6KA4
MAPK14	HTRA2
ADRBK1	GIT2
MAPK14	DUSP10
BBS4	PCM1
RAPGEF1	BCAR1
PSMB5	LSM1
HNRNPK	PCBP1
FLII	OPTN
FLII	TRAIP
FLII	LRRFIP2
CSTF2	SUB1
IMMT	PIAS4
CHD3	IMMT
KTN1	RAC1
KIF5B	KTN1
ID2	TCF12
ID2	TCF4
ID2	MSC
ID2	NEDD9
RFC2	RFC5
GBP3	MAP4K4
PEX7	PEX5
PEX12	PEX5
PEX13	PEX5
ATM	PEX5
E2F2	TFDP2
E2F2	RYBP
E2F3	TFDP2
E2F3	RYBP
NEK3	VAV2
ACTN1	PDLIM1
MAP3K12	MBIP
NCK1	NTRK2
NTRK2	NCK2
NTRK2	GIPC1
ARF6	ARFIP2
ARF6	EXOC5
HPCAL1	ATXN1
BNIP1	NCBP1
BNIP3	NCBP1
NCBP1	NCBP2
SKIV2L	WDR1
EXOSC10	SKIV2L
SKIV2L	EXOSC4
TCF12	MSC
CASP3	NFE2L2
NFE2L2	EIF2AK3
ATF4	NFE2L2
NFE2L2	PMF1
IGHMBP2	NAA38
DOK1	NCK1
NCK1	ABI1
NCK1	EIF2S2
NCK1	BLNK
NCK1	NCKAP1
NCK1	MINK1
NCK1	TNIK
BAK1	MCL1
ACTN1	SSX2IP
PRMT1	COIL
FHL2	ITGA7
FHL3	ITGA7
HSPA1A	ATXN1
KPNA2	RECQL
KPNA4	RECQL
DLG4	ERBB4
ERBB4	YAP1
HSPA9	MVD
STAT1	UBE2I
STAT1	PIAS1
HSPA1B	HSPBP1
SMARCA4	STAT2
SHC1	SHCBP1
SHC1	MAPKAPK2
CASP3	PSME3
MAP3K5	PPP5C
PPP5C	CDC16
PPP5C	CPNE1
PPP5C	CPNE2
GNA12	PPP5C
PPP5C	GNA13
PPP2R1A	PPP5C
MEF2A	MAPK7
MEF2C	VGLL4
CHUK	UBE2E3
KPNB1	KPNA2
KPNA2	SGK1
KPNA2	UBR5
CHD3	KPNA2
KPNA2	ARL4A
KPNA1	UBR5
TIAM1	PPP1R9B
PCBP2	PTBP1
HNRNPL	PTBP1
PTBP1	RAVER1
HMGA1	RNF4
HMGA1	HIPK2
HMGA1	SUFU
HNRNPK	PCBP2
HNRNPK	HNRNPL
HNRNPK	NCK2
DUSP1	MAPK8
ARL4D	ARL6IP1
IFI35	NMI
IFI35	BATF
TGFBR3	GIPC1
HSPA4	DDIT4
PTK2	BCAR1
PTK2	ASAP1
PTK2	RB1CC1
NEDD9	PTK2
KCNMA1	PTK2
PTK2	PIAS1
PSEN2	CIB1
FHL2	PSEN2
FLNB	PSEN2
PSEN2	UBQLN1
PSEN2	RAB11A
PSEN2	METTL2B
TTF1	PTRF
ACVR1	FNTA
TTF1	BAZ2A
CDKN1B	CCNE2
CDKN1B	NUP50
TCEB3	REXO1
BMPR2	LIMK1
BMPR2	DYNLT1
MRE11A	NBN
MRE11A	NEK1
FXR1	CYFIP2
MED1	RORA
RORA	NCOA2
INPPL1	SORBS1
DAPK1	MIB1
STAT5A	NCOR2
NCOR2	SNW1
STAT5B	NCOR2
RARA	NCOR2
THRA	NCOR2
NCOR2	HDAC7
NCOR2	HDAC5
NCOR2	SPEN
CHD1	NCOR1
NR1D1	NCOR1
HDAC3	NCOR1
NCOR1	HDAC5
NCOR1	SPEN
CDKN1C	LIMK1
KARS	AIMP2
AIMP2	FUBP1
RGS2	COPB2
RGS2	GDE1
AGFG1	XPO1
EPS15	AGFG1
AGFG1	EPS15L1
CSNK1E	AXIN1
CSNK1E	AKAP9
CSNK1E	ANKRD6
CSNK1D	DVL1
CSNK1D	AKAP9
RTN1	UGCG
PDCD2	NAA38
NRF1	DYNLL1
FANCE	FANCG
FANCA	FANCE
GFER	COPS5
GFER	BNIPL
SERPINH1	UBQLN4
